base,weekday,trips
B02512,Sun,17298
B02512,Mon,21704
B02512,Tue,27009
B02512,Wed,27862
B02512,Thu,27860
B02512,Fri,25906
B02512,Sat,21269
B02598,Sun,123869
B02598,Mon,137808
B02598,Tue,171827
B02598,Wed,180840
B02598,Thu,184784
B02598,Fri,176783
B02598,Sat,156653
B02617,Sun,154109
B02617,Mon,164705
B02617,Tue,199906
B02617,Wed,205363
B02617,Thu,215354
B02617,Fri,208704
B02617,Sat,187978
B02682,Sun,107406
B02682,Mon,121730
B02682,Tue,150168
B02682,Wed,159559
B02682,Thu,160461
B02682,Fri,155665
B02682,Sat,134917
B02764,Sun,31330
B02764,Mon,31679
B02764,Tue,38217
B02764,Wed,33007
B02764,Thu,37765
B02764,Fri,40090
B02764,Sat,42307
