date,hour,trips
2014-04-01,0,138
2014-04-01,1,66
2014-04-01,2,53
2014-04-01,3,93
2014-04-01,4,166
2014-04-01,5,333
2014-04-01,6,722
2014-04-01,7,1001
2014-04-01,8,780
2014-04-01,9,532
2014-04-01,10,477
2014-04-01,11,547
2014-04-01,12,469
2014-04-01,13,591
2014-04-01,14,736
2014-04-01,15,967
2014-04-01,16,1152
2014-04-01,17,1262
2014-04-01,18,1122
2014-04-01,19,1018
2014-04-01,20,597
2014-04-01,21,878
2014-04-01,22,529
2014-04-01,23,317
2014-04-02,0,161
2014-04-02,1,82
2014-04-02,2,59
2014-04-02,3,80
2014-04-02,4,196
2014-04-02,5,344
2014-04-02,6,785
2014-04-02,7,1099
2014-04-02,8,927
2014-04-02,9,656
2014-04-02,10,658
2014-04-02,11,706
2014-04-02,12,632
2014-04-02,13,709
2014-04-02,14,868
2014-04-02,15,1138
2014-04-02,16,1313
2014-04-02,17,1600
2014-04-02,18,1252
2014-04-02,19,1086
2014-04-02,20,1143
2014-04-02,21,994
2014-04-02,22,638
2014-04-02,23,348
2014-04-03,0,194
2014-04-03,1,106
2014-04-03,2,66
2014-04-03,3,130
2014-04-03,4,193
2014-04-03,5,354
2014-04-03,6,750
2014-04-03,7,1022
2014-04-03,8,864
2014-04-03,9,591
2014-04-03,10,558
2014-04-03,11,549
2014-04-03,12,619
2014-04-03,13,766
2014-04-03,14,934
2014-04-03,15,1247
2014-04-03,16,1438
2014-04-03,17,1640
2014-04-03,18,1628
2014-04-03,19,1374
2014-04-03,20,1591
2014-04-03,21,1714
2014-04-03,22,1580
2014-04-03,23,793
2014-04-04,0,329
2014-04-04,1,184
2014-04-04,2,117
2014-04-04,3,154
2014-04-04,4,238
2014-04-04,5,381
2014-04-04,6,839
2014-04-04,7,1202
2014-04-04,8,1065
2014-04-04,9,769
2014-04-04,10,759
2014-04-04,11,819
2014-04-04,12,827
2014-04-04,13,994
2014-04-04,14,1190
2014-04-04,15,1504
2014-04-04,16,1865
2014-04-04,17,2280
2014-04-04,18,2449
2014-04-04,19,2133
2014-04-04,20,1489
2014-04-04,21,1929
2014-04-04,22,1859
2014-04-04,23,1339
2014-04-05,0,723
2014-04-05,1,416
2014-04-05,2,215
2014-04-05,3,181
2014-04-05,4,153
2014-04-05,5,177
2014-04-05,6,206
2014-04-05,7,279
2014-04-05,8,340
2014-04-05,9,450
2014-04-05,10,530
2014-04-05,11,542
2014-04-05,12,657
2014-04-05,13,647
2014-04-05,14,704
2014-04-05,15,1078
2014-04-05,16,1313
2014-04-05,17,1445
2014-04-05,18,1575
2014-04-05,19,1440
2014-04-05,20,1348
2014-04-05,21,1572
2014-04-05,22,1830
2014-04-05,23,1700
2014-04-06,0,1485
2014-04-06,1,940
2014-04-06,2,501
2014-04-06,3,315
2014-04-06,4,201
2014-04-06,5,177
2014-04-06,6,174
2014-04-06,7,226
2014-04-06,8,313
2014-04-06,9,441
2014-04-06,10,547
2014-04-06,11,563
2014-04-06,12,594
2014-04-06,13,677
2014-04-06,14,698
2014-04-06,15,847
2014-04-06,16,806
2014-04-06,17,799
2014-04-06,18,767
2014-04-06,19,641
2014-04-06,20,516
2014-04-06,21,571
2014-04-06,22,390
2014-04-06,23,256
2014-04-07,0,102
2014-04-07,1,63
2014-04-07,2,57
2014-04-07,3,154
2014-04-07,4,271
2014-04-07,5,388
2014-04-07,6,842
2014-04-07,7,1057
2014-04-07,8,836
2014-04-07,9,585
2014-04-07,10,509
2014-04-07,11,485
2014-04-07,12,463
2014-04-07,13,578
2014-04-07,14,861
2014-04-07,15,1061
2014-04-07,16,1756
2014-04-07,17,2191
2014-04-07,18,2137
2014-04-07,19,2035
2014-04-07,20,1176
2014-04-07,21,1059
2014-04-07,22,646
2014-04-07,23,238
2014-04-08,0,187
2014-04-08,1,72
2014-04-08,2,63
2014-04-08,3,119
2014-04-08,4,184
2014-04-08,5,427
2014-04-08,6,889
2014-04-08,7,1159
2014-04-08,8,1069
2014-04-08,9,611
2014-04-08,10,507
2014-04-08,11,548
2014-04-08,12,518
2014-04-08,13,584
2014-04-08,14,716
2014-04-08,15,996
2014-04-08,16,1206
2014-04-08,17,1386
2014-04-08,18,1062
2014-04-08,19,929
2014-04-08,20,1127
2014-04-08,21,944
2014-04-08,22,587
2014-04-08,23,298
2014-04-09,0,154
2014-04-09,1,106
2014-04-09,2,76
2014-04-09,3,139
2014-04-09,4,194
2014-04-09,5,353
2014-04-09,6,821
2014-04-09,7,1050
2014-04-09,8,858
2014-04-09,9,565
2014-04-09,10,533
2014-04-09,11,552
2014-04-09,12,590
2014-04-09,13,683
2014-04-09,14,849
2014-04-09,15,1120
2014-04-09,16,1276
2014-04-09,17,1492
2014-04-09,18,1218
2014-04-09,19,1152
2014-04-09,20,995
2014-04-09,21,988
2014-04-09,22,717
2014-04-09,23,362
2014-04-10,0,176
2014-04-10,1,106
2014-04-10,2,72
2014-04-10,3,154
2014-04-10,4,223
2014-04-10,5,360
2014-04-10,6,833
2014-04-10,7,971
2014-04-10,8,834
2014-04-10,9,654
2014-04-10,10,561
2014-04-10,11,627
2014-04-10,12,623
2014-04-10,13,822
2014-04-10,14,1056
2014-04-10,15,1333
2014-04-10,16,1553
2014-04-10,17,1757
2014-04-10,18,1535
2014-04-10,19,1312
2014-04-10,20,1461
2014-04-10,21,1477
2014-04-10,22,969
2014-04-10,23,572
2014-04-11,0,250
2014-04-11,1,161
2014-04-11,2,109
2014-04-11,3,197
2014-04-11,4,228
2014-04-11,5,337
2014-04-11,6,800
2014-04-11,7,1041
2014-04-11,8,926
2014-04-11,9,606
2014-04-11,10,631
2014-04-11,11,664
2014-04-11,12,702
2014-04-11,13,880
2014-04-11,14,893
2014-04-11,15,1266
2014-04-11,16,1432
2014-04-11,17,1591
2014-04-11,18,1518
2014-04-11,19,1357
2014-04-11,20,1155
2014-04-11,21,1180
2014-04-11,22,1382
2014-04-11,23,1114
2014-04-12,0,666
2014-04-12,1,458
2014-04-12,2,272
2014-04-12,3,178
2014-04-12,4,159
2014-04-12,5,170
2014-04-12,6,200
2014-04-12,7,255
2014-04-12,8,344
2014-04-12,9,409
2014-04-12,10,514
2014-04-12,11,544
2014-04-12,12,611
2014-04-12,13,628
2014-04-12,14,715
2014-04-12,15,1083
2014-04-12,16,1292
2014-04-12,17,1230
2014-04-12,18,1617
2014-04-12,19,1271
2014-04-12,20,1063
2014-04-12,21,1382
2014-04-12,22,1648
2014-04-12,23,1461
2014-04-13,0,1130
2014-04-13,1,670
2014-04-13,2,337
2014-04-13,3,236
2014-04-13,4,155
2014-04-13,5,130
2014-04-13,6,179
2014-04-13,7,217
2014-04-13,8,294
2014-04-13,9,439
2014-04-13,10,489
2014-04-13,11,581
2014-04-13,12,580
2014-04-13,13,652
2014-04-13,14,740
2014-04-13,15,812
2014-04-13,16,878
2014-04-13,17,775
2014-04-13,18,647
2014-04-13,19,554
2014-04-13,20,490
2014-04-13,21,514
2014-04-13,22,385
2014-04-13,23,228
2014-04-14,0,119
2014-04-14,1,48
2014-04-14,2,45
2014-04-14,3,122
2014-04-14,4,208
2014-04-14,5,378
2014-04-14,6,682
2014-04-14,7,911
2014-04-14,8,730
2014-04-14,9,491
2014-04-14,10,443
2014-04-14,11,443
2014-04-14,12,494
2014-04-14,13,538
2014-04-14,14,722
2014-04-14,15,944
2014-04-14,16,1030
2014-04-14,17,965
2014-04-14,18,721
2014-04-14,19,643
2014-04-14,20,677
2014-04-14,21,620
2014-04-14,22,443
2014-04-14,23,257
2014-04-15,0,137
2014-04-15,1,71
2014-04-15,2,61
2014-04-15,3,104
2014-04-15,4,141
2014-04-15,5,277
2014-04-15,6,564
2014-04-15,7,992
2014-04-15,8,921
2014-04-15,9,663
2014-04-15,10,727
2014-04-15,11,741
2014-04-15,12,688
2014-04-15,13,798
2014-04-15,14,881
2014-04-15,15,1012
2014-04-15,16,1580
2014-04-15,17,1767
2014-04-15,18,1702
2014-04-15,19,1743
2014-04-15,20,1802
2014-04-15,21,1629
2014-04-15,22,1076
2014-04-15,23,564
2014-04-16,0,216
2014-04-16,1,97
2014-04-16,2,72
2014-04-16,3,122
2014-04-16,4,168
2014-04-16,5,330
2014-04-16,6,695
2014-04-16,7,938
2014-04-16,8,904
2014-04-16,9,646
2014-04-16,10,557
2014-04-16,11,583
2014-04-16,12,589
2014-04-16,13,675
2014-04-16,14,843
2014-04-16,15,1127
2014-04-16,16,1418
2014-04-16,17,1514
2014-04-16,18,1310
2014-04-16,19,1187
2014-04-16,20,1220
2014-04-16,21,1238
2014-04-16,22,778
2014-04-16,23,490
2014-04-17,0,227
2014-04-17,1,108
2014-04-17,2,101
2014-04-17,3,131
2014-04-17,4,210
2014-04-17,5,347
2014-04-17,6,766
2014-04-17,7,1052
2014-04-17,8,898
2014-04-17,9,656
2014-04-17,10,611
2014-04-17,11,665
2014-04-17,12,706
2014-04-17,13,849
2014-04-17,14,983
2014-04-17,15,1179
2014-04-17,16,1478
2014-04-17,17,1637
2014-04-17,18,1680
2014-04-17,19,1541
2014-04-17,20,1514
2014-04-17,21,1529
2014-04-17,22,1331
2014-04-17,23,774
2014-04-18,0,438
2014-04-18,1,222
2014-04-18,2,148
2014-04-18,3,208
2014-04-18,4,228
2014-04-18,5,292
2014-04-18,6,401
2014-04-18,7,646
2014-04-18,8,720
2014-04-18,9,640
2014-04-18,10,558
2014-04-18,11,634
2014-04-18,12,665
2014-04-18,13,770
2014-04-18,14,877
2014-04-18,15,1139
2014-04-18,16,1276
2014-04-18,17,1165
2014-04-18,18,1344
2014-04-18,19,1147
2014-04-18,20,1055
2014-04-18,21,1149
2014-04-18,22,1326
2014-04-18,23,1026
2014-04-19,0,635
2014-04-19,1,443
2014-04-19,2,301
2014-04-19,3,223
2014-04-19,4,151
2014-04-19,5,154
2014-04-19,6,176
2014-04-19,7,221
2014-04-19,8,290
2014-04-19,9,386
2014-04-19,10,464
2014-04-19,11,542
2014-04-19,12,603
2014-04-19,13,616
2014-04-19,14,677
2014-04-19,15,912
2014-04-19,16,1014
2014-04-19,17,979
2014-04-19,18,1036
2014-04-19,19,1004
2014-04-19,20,828
2014-04-19,21,992
2014-04-19,22,1105
2014-04-19,23,850
2014-04-20,0,544
2014-04-20,1,433
2014-04-20,2,275
2014-04-20,3,209
2014-04-20,4,149
2014-04-20,5,118
2014-04-20,6,126
2014-04-20,7,183
2014-04-20,8,291
2014-04-20,9,431
2014-04-20,10,509
2014-04-20,11,579
2014-04-20,12,619
2014-04-20,13,642
2014-04-20,14,604
